ccd_code,ccd_name,ccd_synonyms,common_name_guess,ccd_type,release_status,source,error,canonical_code,identical_group_codes,is_identical_alias,alpha_code,beta_code,anomer_group_id,group_member_codes,listed_in_saccharides,anomer_availability,canonical_anomer,sugar_family,sugar_sort_key
MVP,"(1S)-1,5-anhydro-4-O-alpha-D-glucopyranosyl-1-(phosphonomethyl)-D-glucitol",alpha-maltose-c-phosphonate,maltose c phosphonate,saccharide,OBS,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,MVP,MVP,FALSE,MVP,,,MVP,TRUE,alpha_only,alpha,(1s)-1 5-anhydro-4-o-alpha-d-glucopyranosyl-1-(phosphonomethyl)-d-glucitol,"(1s)-1,5-anhydro-4-o-alpha-d-glucopyranosyl-1-(phosphonomethyl)-d-glucitol"
XDX,(2R)-2-(alpha-D-glucopyranosyloxy)-3-(phosphonooxy)propanoic acid,(2R)-2-(alpha-D-glucosyloxy)-3-(phosphonooxy)propanoic acid; (2R)-2-(D-glucosyloxy)-3-(phosphonooxy)propanoic acid; (2R)-2-(glucosyloxy)-3-(phosphonooxy)propanoic acid,,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,XDX,XDX,FALSE,XDX,,,XDX,TRUE,alpha_only,alpha,(2r)-2-(alpha-d-glucopyranosyloxy)-3-(phosphonooxy)propanoic acid,(2r)-2-(alpha-d-glucopyranosyloxy)-3-(phosphonooxy)propanoic acid
9WN,(2R)-2-(alpha-D-glucopyranosyloxy)-3-hydroxypropanoic acid,"(2~{R})-2-[(2~{R},3~{R},4~{S},5~{S},6~{R})-6-(hydroxymethyl)-3,4,5-tris(oxidanyl)oxan-2-yl]oxy-3-oxidanyl-propanoic acid; (2R)-2-(alpha-D-glucosyloxy)-3-hydroxypropanoic acid; (2R)-2-(D-glucosyloxy)-3-hydroxypropanoic acid; (2R)-2-(glucosyloxy)-3-hydroxypropanoic acid",,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,9WN,9WN,FALSE,9WN,,,9WN,TRUE,alpha_only,alpha,(2r)-2-(alpha-d-glucopyranosyloxy)-3-hydroxypropanoic acid,(2r)-2-(alpha-d-glucopyranosyloxy)-3-hydroxypropanoic acid
2M8,(2R)-3-hydroxy-2-(alpha-D-mannopyranosyloxy)propanoic acid,2-O-ALPHA-MANNOSYL-D-GLYCERATE; (2R)-3-hydroxy-2-(alpha-D-mannosyloxy)propanoic acid; (2R)-3-hydroxy-2-(D-mannosyloxy)propanoic acid; (2R)-3-hydroxy-2-(mannosyloxy)propanoic acid,,"D-saccharide, alpha linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,2M8,2M8,FALSE,2M8,,,2M8,TRUE,alpha_only,alpha,(2r)-3-hydroxy-2-(alpha-d-mannopyranosyloxy)propanoic acid,(2r)-3-hydroxy-2-(alpha-d-mannopyranosyloxy)propanoic acid
RWI,(2S)-2-({2-deoxy-2-[(hydroxycarbamoyl)amino]-alpha-D-glucopyranosyl}oxy)butanedioic acid,(2S)-2-({2-deoxy-2-[(hydroxycarbamoyl)amino]-alpha-D-glucosyl}oxy)butanedioic acid; (2S)-2-({2-deoxy-2-[(hydroxycarbamoyl)amino]-D-glucosyl}oxy)butanedioic acid; (2S)-2-({2-deoxy-2-[(hydroxycarbamoyl)amino]-glucosyl}oxy)butanedioic acid,,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,RWI,RWI,FALSE,RWI,,,RWI,TRUE,alpha_only,alpha,(2s)-2-({2-deoxy-2-[(hydroxycarbamoyl)amino]-alpha-d-glucopyranosyl}oxy)butanedioic acid,(2s)-2-({2-deoxy-2-[(hydroxycarbamoyl)amino]-alpha-d-glucopyranosyl}oxy)butanedioic acid
GMT,(2S)-2-{[2-acetamido-2-deoxy-alpha-D-glucopyranosyl]oxy}butanedioic acid,(2S)-2-{[2-(acetylamino)-2-deoxy-alpha-D-glucopyranosyl]oxy}butanedioic acid; (2S)-2-{[2-acetamido-2-deoxy-alpha-D-glucosyl]oxy}butanedioic acid; (2S)-2-{[2-acetamido-2-deoxy-D-glucosyl]oxy}butanedioic acid; (2S)-2-{[2-acetamido-2-deoxy-glucosyl]oxy}butanedioic acid,,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GMT,GMT,FALSE,GMT,,,GMT,TRUE,alpha_only,alpha,(2s)-2-{[2-acetamido-2-deoxy-alpha-d-glucopyranosyl]oxy}butanedioic acid,(2s)-2-{[2-acetamido-2-deoxy-alpha-d-glucopyranosyl]oxy}butanedioic acid
9YW,(alpha-D-glucopyranosyloxy)acetic acid,Glucosylglycolate; (alpha-D-glucosyloxy)acetic acid; (D-glucosyloxy)acetic acid; (glucosyloxy)acetic acid,(glucopyranosyloxy)acetic acid,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,9YW,9YW,FALSE,9YW,,,9YW,TRUE,alpha_only,alpha,(alpha-d-glucopyranosyloxy)acetic acid,(alpha-d-glucopyranosyloxy)acetic acid
ASO,"1,5-anhydro-D-glucitol","1,5-ANHYDROSORBITOL",anhydrosorbitol,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,AH2,"AH2, ASO, NHF",TRUE,,,,AH2,FALSE,unknown,,1 5-anhydro-d-glucitol,"1,5-anhydro-d-glucitol"
SLM,"(2S,4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxamide",SIALYLAMIDE,sialylamide,"D-saccharide, beta linking",REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,SLM,SLM,FALSE,SLM,,,SLM,TRUE,alpha_only,alpha,2 3-trihydroxypropyl]oxane-2-carboxamide,"(2s,4s,5r,6r)-5-acetamido-2,4-dihydroxy-6-[(1r,2r)-1,2,3-trihydroxypropyl]oxane-2-carboxamide"
GDL,"2-(acetylamido)-2-deoxy-D-glucono-1,5-lactone","2-ACETAMIDO-2-DEOXY-D-GLUCONO-1,5-LACTONE",glucono lactone,D-saccharide,REL,https://files.wwpdb.org/pub/pdb/data/monomers/components.cif.gz,,GDL,GDL,FALSE,GDL,,,GDL,TRUE,alpha_only,alpha,2-(acetylamido)-2-deoxy-d-glucono-1 5-lactone,"2-(acetylamido)-2-deoxy-d-glucono-1,5-lactone"
