entity_key,canonical_code,display_name,display_code,sugar_family,sugar_sort_key,anomer_availability,alpha_code,alpha_name,beta_code,beta_name,identical_group_codes,group_member_codes
MVP|,MVP,"(1S)-1,5-anhydro-4-O-alpha-D-glucopyranosyl-1-(phosphonomethyl)-D-glucitol (MVP)",MVP,(1s)-1 5-anhydro-4-o-alpha-d-glucopyranosyl-1-(phosphonomethyl)-d-glucitol,"(1s)-1,5-anhydro-4-o-alpha-d-glucopyranosyl-1-(phosphonomethyl)-d-glucitol",alpha_only,MVP,"(1S)-1,5-anhydro-4-O-alpha-D-glucopyranosyl-1-(phosphonomethyl)-D-glucitol",,,MVP,MVP
XDX|,XDX,(2R)-2-(alpha-D-glucopyranosyloxy)-3-(phosphonooxy)propanoic acid (XDX),XDX,(2r)-2-(alpha-d-glucopyranosyloxy)-3-(phosphonooxy)propanoic acid,(2r)-2-(alpha-d-glucopyranosyloxy)-3-(phosphonooxy)propanoic acid,alpha_only,XDX,(2R)-2-(alpha-D-glucopyranosyloxy)-3-(phosphonooxy)propanoic acid,,,XDX,XDX
9WN|,9WN,(2R)-2-(alpha-D-glucopyranosyloxy)-3-hydroxypropanoic acid (9WN),9WN,(2r)-2-(alpha-d-glucopyranosyloxy)-3-hydroxypropanoic acid,(2r)-2-(alpha-d-glucopyranosyloxy)-3-hydroxypropanoic acid,alpha_only,9WN,(2R)-2-(alpha-D-glucopyranosyloxy)-3-hydroxypropanoic acid,,,9WN,9WN
2M8|,2M8,(2R)-3-hydroxy-2-(alpha-D-mannopyranosyloxy)propanoic acid (2M8),2M8,(2r)-3-hydroxy-2-(alpha-d-mannopyranosyloxy)propanoic acid,(2r)-3-hydroxy-2-(alpha-d-mannopyranosyloxy)propanoic acid,alpha_only,2M8,(2R)-3-hydroxy-2-(alpha-D-mannopyranosyloxy)propanoic acid,,,2M8,2M8
RWI|,RWI,(2S)-2-({2-deoxy-2-[(hydroxycarbamoyl)amino]-alpha-D-glucopyranosyl}oxy)butanedioic acid (RWI),RWI,(2s)-2-({2-deoxy-2-[(hydroxycarbamoyl)amino]-alpha-d-glucopyranosyl}oxy)butanedioic acid,(2s)-2-({2-deoxy-2-[(hydroxycarbamoyl)amino]-alpha-d-glucopyranosyl}oxy)butanedioic acid,alpha_only,RWI,(2S)-2-({2-deoxy-2-[(hydroxycarbamoyl)amino]-alpha-D-glucopyranosyl}oxy)butanedioic acid,,,RWI,RWI
GMT|,GMT,(2S)-2-{[2-acetamido-2-deoxy-alpha-D-glucopyranosyl]oxy}butanedioic acid (GMT),GMT,(2s)-2-{[2-acetamido-2-deoxy-alpha-d-glucopyranosyl]oxy}butanedioic acid,(2s)-2-{[2-acetamido-2-deoxy-alpha-d-glucopyranosyl]oxy}butanedioic acid,alpha_only,GMT,(2S)-2-{[2-acetamido-2-deoxy-alpha-D-glucopyranosyl]oxy}butanedioic acid,,,GMT,GMT
9YW|,9YW,(alpha-D-glucopyranosyloxy)acetic acid (9YW),9YW,(alpha-d-glucopyranosyloxy)acetic acid,(alpha-d-glucopyranosyloxy)acetic acid,alpha_only,9YW,(alpha-D-glucopyranosyloxy)acetic acid,,,9YW,9YW
SLM|,SLM,"(2S,4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxamide (SLM)",SLM,2 3-trihydroxypropyl]oxane-2-carboxamide,"(2s,4s,5r,6r)-5-acetamido-2,4-dihydroxy-6-[(1r,2r)-1,2,3-trihydroxypropyl]oxane-2-carboxamide",alpha_only,SLM,"(2S,4S,5R,6R)-5-acetamido-2,4-dihydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxamide",,,SLM,SLM
GDL|,GDL,"2-(acetylamido)-2-deoxy-D-glucono-1,5-lactone (GDL)",GDL,2-(acetylamido)-2-deoxy-d-glucono-1 5-lactone,"2-(acetylamido)-2-deoxy-d-glucono-1,5-lactone",alpha_only,GDL,"2-(acetylamido)-2-deoxy-D-glucono-1,5-lactone",,,GDL,GDL
6GR|,6GR,2-(alpha-L-altropyranosyloxy)benzoic acid (6GR),6GR,2-(alpha-l-altropyranosyloxy)benzoic acid,2-(alpha-l-altropyranosyloxy)benzoic acid,alpha_only,6GR,2-(alpha-L-altropyranosyloxy)benzoic acid,,,6GR,6GR
